* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\Teegan\TaqMan_Std.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP
A1																		N	N
A2	831	C	UNKNOWN	VIC	NFQ-MGB	30.2053	30.33	0.1764				false	0.01	false	15	22		Y	N
A2	831	D	UNKNOWN	FAM	NFQ-MGB	27.4569	27.0133	0.6275				false	0.01	false	15	22		Y	N
A3	835	C	UNKNOWN	VIC	NFQ-MGB	32.1955	31.3613	1.1797				false	0.01	false	15	22		Y	N
A3	835	D	UNKNOWN	FAM	NFQ-MGB	26.8466	25.7959	1.4859				false	0.01	false	15	22		Y	N
A4	839	C	UNKNOWN	VIC	NFQ-MGB	31.9935	32.1449	0.2141				false	0.01	false	15	22		N	N
A4	839	D	UNKNOWN	FAM	NFQ-MGB	26.6131	26.6353	0.0313				false	0.01	false	15	22		N	N
A5	843	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A5	843	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A6	847	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A6	847	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
A7	851	C	UNKNOWN	VIC	NFQ-MGB	33.9206	33.2971	0.8816				false	0.01	false	15	22		Y	N
A7	851	D	UNKNOWN	FAM	NFQ-MGB	29.7413	29.0339	1.0004				false	0.01	false	15	22		Y	N
A8	855	C	UNKNOWN	VIC	NFQ-MGB	32.1074	31.7619	0.4887				false	0.01	false	15	22		Y	N
A8	855	D	UNKNOWN	FAM	NFQ-MGB	28.1783	27.7849	0.5563				false	0.01	false	15	22		Y	N
A9	859	C	UNKNOWN	VIC	NFQ-MGB	32.3007	32.2184	0.1164				false	0.01	false	15	22		N	N
A9	859	D	UNKNOWN	FAM	NFQ-MGB	28.2474	28.284	0.0518				false	0.01	false	15	22		N	N
A10	863	C	UNKNOWN	VIC	NFQ-MGB	33.0901	32.9962	0.1328				false	0.01	false	15	22		Y	N
A10	863	D	UNKNOWN	FAM	NFQ-MGB	28.9563	28.5801	0.532				false	0.01	false	15	22		Y	N
A11	867	C	UNKNOWN	VIC	NFQ-MGB	27.1218	26.8041	0.4493				false	0.01	false	15	22		Y	N
A11	867	D	UNKNOWN	FAM	NFQ-MGB	35.173	35.5567	0.5426				false	0.01	false	15	22		Y	N
A12																		N	N
B1																		N	N
B2	831	C	UNKNOWN	VIC	NFQ-MGB	30.4547	30.33	0.1764				false	0.01	false	15	22		Y	N
B2	831	D	UNKNOWN	FAM	NFQ-MGB	26.5696	27.0133	0.6275				false	0.01	false	15	22		Y	N
B3	835	C	UNKNOWN	VIC	NFQ-MGB	30.5272	31.3613	1.1797				false	0.01	false	15	22		Y	N
B3	835	D	UNKNOWN	FAM	NFQ-MGB	24.7452	25.7959	1.4859				false	0.01	false	15	22		Y	N
B4	839	C	UNKNOWN	VIC	NFQ-MGB	32.2963	32.1449	0.2141				false	0.01	false	15	22		N	N
B4	839	D	UNKNOWN	FAM	NFQ-MGB	26.6574	26.6353	0.0313				false	0.01	false	15	22		N	N
B5	843	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
B5	843	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
B6	847	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
B6	847	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	Y
B7	851	C	UNKNOWN	VIC	NFQ-MGB	32.6737	33.2971	0.8816				false	0.01	false	15	22		Y	N
B7	851	D	UNKNOWN	FAM	NFQ-MGB	28.3265	29.0339	1.0004				false	0.01	false	15	22		Y	N
B8	855	C	UNKNOWN	VIC	NFQ-MGB	31.4163	31.7619	0.4887				false	0.01	false	15	22		Y	N
B8	855	D	UNKNOWN	FAM	NFQ-MGB	27.3916	27.7849	0.5563				false	0.01	false	15	22		Y	N
B9	859	C	UNKNOWN	VIC	NFQ-MGB	32.1361	32.2184	0.1164				false	0.01	false	15	22		N	N
B9	859	D	UNKNOWN	FAM	NFQ-MGB	28.3207	28.284	0.0518				false	0.01	false	15	22		N	N
B10	863	C	UNKNOWN	VIC	NFQ-MGB	32.9023	32.9962	0.1328				false	0.01	false	15	22		Y	N
B10	863	D	UNKNOWN	FAM	NFQ-MGB	28.2039	28.5801	0.532				false	0.01	false	15	22		Y	N
B11	867	C	UNKNOWN	VIC	NFQ-MGB	26.4864	26.8041	0.4493				false	0.01	false	15	22		Y	N
B11	867	D	UNKNOWN	FAM	NFQ-MGB	35.9404	35.5567	0.5426				false	0.01	false	15	22		Y	N
B12	7	C	UNKNOWN	VIC	NFQ-MGB	27.1985	26.8744	0.4583				false	0.01	false	15	22		N	N
B12	7	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		N	N
C1																		N	N
C2	832	C	UNKNOWN	VIC	NFQ-MGB	25.8988	30.0185	5.8261				false	0.01	false	15	22		Y	N
C2	832	D	UNKNOWN	FAM	NFQ-MGB	35.7952	35.7952					false	0.01	false	15	22		Y	N
C3	836	C	UNKNOWN	VIC	NFQ-MGB	30.6513	30.6513					false	0.01	false	15	22		N	N
C3	836	D	UNKNOWN	FAM	NFQ-MGB	24.8124	24.8124					false	0.01	false	15	22		N	N
C4	840	C	UNKNOWN	VIC	NFQ-MGB	32.4003	32.3813	0.0269				false	0.01	false	15	22		N	N
C4	840	D	UNKNOWN	FAM	NFQ-MGB	26.9229	26.9129	0.0142				false	0.01	false	15	22		N	N
C5	844	C	UNKNOWN	VIC	NFQ-MGB	30.4145	32.0219	2.2732				false	0.01	false	15	22		Y	N
C5	844	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	15	22		Y	N
C6	848	C	UNKNOWN	VIC	NFQ-MGB	30.21	30.4668	0.3632				false	0.01	false	15	22		Y	N
