301,o
302,o
303,b
304,b
305,o
306,o
307,o
308,o
309,b
310,o
311,b
312,b
313,o
314,b
315,b
316,b
317,o
318,b
319,o
320,o
321,b
322,o
323,o
324,b
325,b
326,o
327,b
328,o
329,b
330,o
331,o
332,o
333,o
334,b
335,o
336,o
337,o
338,o
339,o
340,o
341,o
342,o
343,o
344,b
345,o
346,o
347,o
348,b
349,o
350,o
351,b
352,o
353,o
354,b
355,o
356,o
357,o
358,b
359,o
360,b
361,o
362,o
363,o
364,o
365,o
366,b
367,o
368,o
369,o
370,o
371,o
372,o
373,o
374,b
375,o
376,o
377,o
378,o
379,o
380,b
381,o
382,b
383,o
384,b
385,o
386,o
387,b
388,o
389,o
390,b
391,b
392,b
393,o
394,o
395,b
396,b
397,b
398,o
399,b
400,o
401,o
402,b
403,o
404,b
405,o
406,o
407,b
408,b
409,o
410,b
411,b
412,o
413,o
414,o
415,b
416,o
417,o
418,b
419,b
420,b
421,o
422,b
423,o
424,o
425,o
426,b
427,b
428,b
429,o
430,b
431,o
432,o
433,o
434,o
435,b
436,b
437,b
438,b
439,b
440,o
441,b
442,b
443,b
444,o
445,b
446,b
447,b
448,b
449,o
450,o
451,o
452,b
453,b
454,b
455,o
456,b
457,o
458,o
459,o
460,o
461,o
462,o
463,b
464,o
465,o
466,o
467,b
468,o
469,o
470,o
471,o
472,o
473,b
474,o
475,b
476,o
477,o
478,o
479,o
480,o
481,b
482,b
483,b
484,o
485,b
486,b
487,b
488,b
489,o
490,b
491,o
492,o
493,b
494,b
495,o
496,b
497,b
498,o
499,b
500,o
501,o
502,o
503,b
504,b
505,o
506,b
507,o
508,b
509,b
510,b
511,o
512,o
513,b
514,o
515,b
516,o
517,b
518,b
519,b
520,o
521,o
522,o
523,b
524,o
525,o
526,o
527,o
528,b
529,b
530,o
531,o
532,o
533,o
534,b
535,b
536,o
537,b
538,b
539,o
540,o
541,b
542,b
543,b
544,o
545,b
546,b
547,o
548,b
549,o
550,o
551,b
552,b
553,b
554,b
555,o
556,b
557,b
558,b
559,o
560,b
561,o
562,o
563,b
564,o
565,o
566,b
567,o
568,b
569,b
570,o
571,b
572,o
573,b
574,b
575,b
576,b
577,b
578,b
579,b
580,o
581,b
582,b
583,b
584,b
585,b
586,o
587,b
588,o
589,b
590,o
591,o
592,b
593,o
594,b
595,b
596,o
597,b
598,o
599,b
600,o
601,b
602,b
603,o
604,b
605,b
606,b
607,b
608,b
609,o
610,o
611,o
612,o
613,b
614,o
615,o
616,b
617,b
618,b
619,o
620,o
621,b
622,b
623,o
624,o
625,o
626,b
627,b
628,b
629,b
630,o
631,b
632,o
633,o
634,b
635,o
636,o
637,o
638,b
639,b
640,o
641,b
642,b
643,o
644,b
645,b
646,b
647,o
648,b
649,o
650,o
651,b
652,b
653,o
654,o
655,b
656,o
657,b
658,b
659,b
660,b
661,o
662,b
663,b
664,b
665,b
666,o
667,b
668,o
669,b
670,o
671,o
672,o
673,b
674,o
675,o
676,b
677,b
678,o
679,b
680,o
681,b
682,b
683,o
684,b
685,b
686,b
687,o
688,o
689,o
690,o
691,b
692,o
693,b
694,b
695,o
696,b
697,b
698,o
699,b
700,b
701,b
702,o
703,b
704,o
705,b
706,o
707,o
708,o
709,b
710,b
711,o
712,b
713,b
714,b
715,o
716,b
717,b
718,b
719,o
720,b
721,b
722,b
723,b
724,b
725,b
726,b
727,b
728,b
729,b
730,o
731,b
732,o
733,o
734,o
735,b
736,b
737,o
738,o
739,o
740,b
741,b
742,b
743,b
744,o
745,o
746,o
747,b
748,b
749,b
750,o
751,o
752,o
753,o
754,o
755,o
756,o
757,b
758,b
759,b
760,o
761,b
762,o
763,o
764,o
765,b
766,o
767,o
768,b
769,o
770,o
771,o
772,o
773,o
774,o
775,o
776,o
777,o
778,b
779,b
780,b
781,o
782,b
783,o
784,o
785,b
786,b
787,o
788,b
789,b
790,b
791,o
792,o
793,o
794,o
795,o
796,o
797,o
798,b
799,o
800,o
801,b
802,o
803,b
804,o
805,b
806,o
807,o
808,o
809,b
810,b
811,o
812,o
813,o
814,o
815,b
816,b
817,o
818,o
819,o
820,o
821,o
822,b
823,b
824,o
825,b
826,b
827,o
828,b
829,o
830,b
831,o
832,b
833,o
834,o
835,o
836,b
837,b
838,o
839,o
840,b
841,b
842,b
843,b
844,b
845,b
846,b
847,b
848,b
849,b
850,b
851,o
852,o
853,o
854,o
855,o
856,b
857,b
858,o
859,b
860,o
861,b
862,b
863,o
864,b
865,b
866,o
867,o
868,b
869,b
870,b
871,o
872,o
873,b
874,o
875,o
876,o
877,b
878,o
879,o
880,o
881,o
882,b
883,o
884,b
885,b
886,b
887,b
888,b
889,b
890,b
891,b
892,o
893,b
894,o
895,o
896,o
897,b
898,o
899,o
900,b
901,b
902,b
903,o
904,o
905,b
906,b
907,b
908,b
909,o
910,b
911,b
912,o
913,b
914,b
915,o
916,b
917,b
918,b
919,o
920,b
921,b
922,b
923,b
924,o
925,o
926,b
927,o
928,b
929,b
930,b
931,o
932,o
933,o
934,o
935,b
936,o
937,b
938,b
939,b
940,b
941,o
942,b
943,o
944,b
945,b
946,b
947,b
948,o
949,o
950,b
951,o
952,b
953,o
954,o
955,b
956,o
957,o
958,b
959,b
960,o
1001,b
1002,b
1003,b
1004,b
1005,b
1006,b
1007,b
1008,o
1009,o
1010,o
1011,b
1012,b
1013,b
1014,b
1015,b
1016,b
1017,b
1018,b
1019,b
1020,b
1021,b
1022,b
1023,b
1024,b
1025,b
1026,b
1027,b
1028,b
1029,b
1030,b
1031,b
1032,b
1033,b
1034,b
1035,o
1036,o
1037,b
1038,o
1039,b
1040,b
1041,b
1042,b
1043,b
1044,b
1045,o
1046,b
1051,b
1052,b
1053,o
